MOLECULE_DESC,MAT FEB'24,MAT FEB'26,Cipla Sales,Disease Score,Patent Score,Innovation Score,Guideline Score,Regulatory Score,External Score,Market Score,CAGR,Growth Score,Num Competitors,Competition Score,Future Score,Cipla Share,Right to Win Score,Confidence Score,Strategic Fit Score,Risk Score,Business Impact Score,Opportunity Score,Rank
CHLORTALIDONE + METOPROLOL SUCCINATE + TELMISARTAN,40.400000000000006,62.1,1.0,9.9,0.6,7.1,5.5,7.0,6.0,0.3444832750873689,0.23980995030338703,2.423375929638671,11,9.404761904761905,6.0,0.01610305958132045,0.304557865994539,92.5,0.3,23.0,0.8,32.4,101
COLECALCIFEROL + LEVOMEFOLIC ACID + MECOBALAMIN + PYRIDOXAL 5-PHOSPHATE + ROSUVASTATIN CALCIUM SALT,1.7,0.4,0.0,8.5,9.0,6.1,9.6,5.2,7.7,0.002218893881400122,-0.5149287499273341,0.9481372457917332,1,10.0,7.7,0.0,0.0,94.7,0.0,11.5,0.0,32.3,102
AMILORIDE HYDROCHLORIDE + TORASEMIDE,2.5,2.1,0.0,3.5,4.2,8.3,9.5,8.8,6.9,0.01164919287735064,-0.0834848610088319,1.7914525741926288,2,9.94047619047619,6.9,0.0,0.0,90.6,0.0,15.8,0.0,32.3,103
CHLORTALIDONE + NEBIVOLOL HYDROCHLORIDE,0.0,0.0,0.0,9.3,3.9,4.8,7.2,8.8,6.8,0.0,0.0,1.954635005990765,3,9.880952380952381,6.8,0.0,0.0,50.0,0.0,16.6,0.0,32.3,104
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + RAMIPRIL,13.6,14.6,0.0,7.6,6.5,4.5,7.2,7.2,6.6,0.08098962667110444,0.0361126443416786,2.0252220447799045,4,9.821428571428571,6.6,0.0,0.0,85.9,0.0,17.9,0.2,32.2,105
CILNIDIPINE + TELMISARTAN,473.40000000000003,758.8,2.0,4.4,5.3,1.7,4.9,5.0,4.3,4.209241693016031,0.2660461424497915,2.474658109231933,79,5.357142857142857,4.3,0.002635740643120717,0.049849877380761395,94.2,1.7,51.7,10.4,32.2,106
ASCORBIC ACID + BETA VULGARIS + CITRULLINE + CRATAEGUS LAEVIGATA + FOLIC ACID + MECOBALAMIN + SODIUM NITRITE + UBIQUINOL,0.0,0.0,0.0,9.6,5.8,9.2,3.8,4.5,6.6,0.0,0.0,1.954635005990765,1,10.0,6.6,0.0,0.0,50.0,0.0,17.0,0.0,32.1,107
AMLODIPINE + LISINOPRIL,0.0,0.0,0.0,6.6,9.1,6.3,5.7,5.3,6.6,0.0,0.0,1.954635005990765,1,10.0,6.6,0.0,0.0,50.0,0.0,17.0,0.0,32.1,108
ATENOLOL + HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT,6.800000000000001,6.2,0.0,3.9,5.3,8.1,9.2,7.0,6.7,0.034392855161701895,-0.045136289367769034,1.866410034751995,2,9.94047619047619,6.7,0.0,0.0,85.4,0.0,16.8,0.1,32.1,109
MILRINONE LACTATE,15.2,14.2,0.0,4.8,6.3,6.1,9.1,7.9,6.8,0.07877073278970431,-0.03345433304173906,1.8892439955253082,6,9.702380952380953,6.8,0.0,0.0,86.0,0.0,17.5,0.1,32.1,110
CHLORTALIDONE + EFONIDIPINE HYDROCHLORIDE,0.1,0.1,0.0,4.9,5.6,6.2,8.7,7.5,6.6,0.0005547234703500305,0.0,1.954635005990765,1,10.0,6.6,0.0,0.0,92.0,0.0,17.0,0.0,32.1,111
GARCINIA CAMBOGIA,0.0,0.0,0.0,7.2,7.5,7.0,7.0,4.3,6.6,0.0,0.0,1.954635005990765,2,9.94047619047619,6.6,0.0,0.0,50.0,0.0,17.3,0.0,32.0,112
ATORVASTATIN CALCIUM SALT + OLMESARTAN MEDOXOMIL,0.0,0.0,0.0,7.4,2.8,7.5,8.4,6.2,6.5,0.0,0.0,1.954635005990765,1,10.0,6.5,0.0,0.0,50.0,0.0,17.5,0.0,31.9,113
COMMIPHORA WIGHTII + GARCINIA INDICA + TERMINALIA CHEBULA,0.0,0.0,0.0,6.4,3.8,5.7,9.4,7.2,6.5,0.0,0.0,1.954635005990765,1,10.0,6.5,0.0,0.0,50.0,0.0,17.5,0.0,31.9,114
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,0.0,0.0,0.0,2.6,4.6,7.1,9.9,8.1,6.5,0.0,0.0,1.954635005990765,1,10.0,6.5,0.0,0.0,50.0,0.0,17.5,0.0,31.9,115
ACETYLSALICYLIC ACID + ISOSORBIDE MONONITRATE,0.0,0.0,0.0,9.2,6.3,4.1,8.6,4.4,6.5,0.0,0.0,1.954635005990765,1,10.0,6.5,0.0,0.0,50.0,0.0,17.5,0.0,31.9,116
CILNIDIPINE + OLMESARTAN MEDOXOMIL,21.3,23.0,0.0,7.4,3.6,9.3,4.5,9.6,6.9,0.12758639818050702,0.03914012845851067,2.031139671214745,15,9.166666666666666,6.9,0.0,0.0,85.5,0.1,19.7,0.3,31.9,117
AZILSARTAN MEDOXOMIL + CILNIDIPINE,1.9,1.5,0.0,7.3,8.4,5.1,6.6,6.2,6.7,0.008320852055250457,-0.1114766833613614,1.7367387783408996,2,9.94047619047619,6.7,0.0,0.0,86.6,0.0,16.8,0.0,31.8,118
AMLODIPINE BESILATE + BISOPROLOL FUMARATE,83.6,119.7,0.4,6.6,8.1,3.1,9.1,4.2,6.2,0.6640039940089865,0.19658605282619845,2.3388889865344025,24,8.630952380952381,6.2,0.0033416875522138683,0.06320148196578404,94.7,0.3,25.8,1.6,31.8,119
LISINOPRIL,17.6,16.1,0.0,6.3,7.0,3.2,7.7,9.2,6.7,0.08931047872635492,-0.04356248124996309,1.8694862551917706,7,9.642857142857142,6.7,0.0,0.0,93.5,0.0,18.3,0.2,31.8,120
BISOPROLOL FUMARATE + PERINDOPRIL,0.0,3.2,0.0,2.8,9.0,9.1,6.4,4.9,6.4,0.017751151051200977,0.0,1.954635005990765,1,10.0,6.4,0.0,0.0,50.0,0.0,18.0,0.0,31.8,121
CLOPIDOGREL + ROSUVASTATIN CALCIUM SALT,72.3,96.39999999999999,0.0,3.2,8.2,1.6,8.9,7.4,5.9,0.5347534254174293,0.15470053837925146,2.257018093752468,10,9.464285714285714,5.9,0.0,0.0,85.0,0.2,23.2,1.2,31.8,122
AMLODIPINE BESILATE + METOPROLOL SUCCINATE + TELMISARTAN,0.0,6.3999999999999995,0.0,4.7,3.9,7.7,9.0,7.0,6.5,0.03550230210240195,0.0,1.954635005990765,3,9.880952380952381,6.5,0.0,0.0,50.0,0.0,18.1,0.1,31.8,123
AMILORIDE HYDROCHLORIDE + ATENOLOL + HYDROCHLOROTHIAZIDE,0.0,0.0,0.0,2.3,9.1,5.0,9.8,6.0,6.4,0.0,0.0,1.954635005990765,1,10.0,6.4,0.0,0.0,50.0,0.0,18.0,0.0,31.7,124
MINOXIDIL,10.1,10.7,0.0,4.4,7.1,2.9,9.0,8.7,6.4,0.059355411327453256,0.02927447291480978,2.0118559155319806,4,9.821428571428571,6.4,0.0,0.0,90.9,0.0,18.9,0.1,31.7,125
ISOSORBIDE MONONITRATE + METOPROLOL SUCCINATE,0.0,0.0,0.0,4.0,6.1,8.8,8.5,4.8,6.4,0.0,0.0,1.954635005990765,1,10.0,6.4,0.0,0.0,50.0,0.0,18.0,0.0,31.7,126
ISOSORBIDE DINITRATE,19.4,19.9,0.0,5.2,7.5,5.9,4.6,8.4,6.3,0.11038997059965605,0.012804618806751211,1.9796633621488087,2,9.94047619047619,6.3,0.0,0.0,85.6,0.0,18.8,0.2,31.7,127
DILTIAZEM HYDROCHLORIDE,126.60000000000001,147.7,0.0,4.9,3.7,5.8,8.3,5.9,5.7,0.8193265657069949,0.08012344973464325,2.11124710564284,12,9.345238095238095,5.7,0.0,0.0,91.1,0.3,24.8,1.7,31.7,128
IRBESARTAN,2.3,2.3,0.0,3.1,8.6,5.8,6.4,8.1,6.4,0.0127586398180507,0.0,1.954635005990765,3,9.880952380952381,6.4,0.0,0.0,93.6,0.0,18.6,0.0,31.6,129
MOXONIDINE,70.1,91.5,0.0,7.5,4.9,5.2,6.3,4.5,5.7,0.5075719753702779,0.1424877128604447,2.233146477471351,7,9.642857142857142,5.7,0.0,0.0,87.8,0.2,23.3,1.1,31.6,130
CHLORTALIDONE SODIUM SALT + CILNIDIPINE + TELMISARTAN,0.8,1.2,0.0,2.8,6.2,5.1,7.2,8.2,5.9,0.006656681644200366,0.22474487139158894,2.393929199029657,1,10.0,5.9,0.0,0.0,93.2,0.0,20.5,0.0,31.6,131
AMLODIPINE,1.1,1.0,0.0,2.1,8.6,8.8,5.5,7.9,6.6,0.005547234703500306,-0.04653741075440765,1.8636713538420286,5,9.761904761904763,6.6,0.0,0.0,85.8,0.0,18.2,0.0,31.6,132
SIMVASTATIN,5.6000000000000005,5.2,0.0,4.9,9.5,6.5,4.5,7.8,6.6,0.028845620458201587,-0.036375888340568485,1.8835334212662787,7,9.642857142857142,6.6,0.0,0.0,93.9,0.0,18.8,0.1,31.5,133
ATORVASTATIN CALCIUM SALT + COLECALCIFEROL + CYANOCOBALAMIN + FOLIC ACID + PYRIDOXAL 5-PHOSPHATE,0.0,0.0,0.0,4.4,9.4,8.2,4.2,5.4,6.3,0.0,0.0,1.954635005990765,1,10.0,6.3,0.0,0.0,50.0,0.0,18.5,0.0,31.5,134
RAMIPRIL + TELMISARTAN,0.0,0.0,0.0,7.1,0.5,9.3,9.6,5.4,6.4,0.0,0.0,1.954635005990765,3,9.880952380952381,6.4,0.0,0.0,50.0,0.0,18.6,0.0,31.5,135
COMMIPHORA MOLMOL + HIPPOPHAE RHAMNOIDES + INULA RACEMOSA + TERMINALIA ARJUNA,0.0,0.0,0.0,3.8,9.7,4.1,5.5,8.4,6.3,0.0,0.0,1.954635005990765,1,10.0,6.3,0.0,0.0,50.0,0.0,18.5,0.0,31.5,136
AMLODIPINE + CHLORTALIDONE + TELMISARTAN,25.0,30.8,0.0,8.2,0.2,6.5,9.3,5.3,5.9,0.1708548288678094,0.10995495404092859,2.1695568082412695,3,9.880952380952381,5.9,0.0,0.0,89.3,0.1,21.1,0.4,31.4,137
ATORVASTATIN CALCIUM SALT + FENOFIBRATE,210.0,258.4,28.0,4.1,2.5,8.9,3.6,4.6,4.7,1.4334054473844788,0.10926831311283314,2.1682146758466683,57,6.666666666666667,4.7,0.108359133126935,2.0494009960963795,90.9,1.8,43.2,3.1,31.4,138
ACETYLSALICYLIC ACID + CLOPIDOGREL + ROSUVASTATIN CALCIUM SALT,76.0,89.2,0.0,6.1,8.9,5.2,4.0,7.4,6.3,0.49481333555222723,0.08336707099962926,2.1175872013135577,20,8.869047619047619,6.3,0.0,0.0,93.5,0.2,24.2,1.0,31.4,139
BENIDIPINE HYDROCHLORIDE,40.4,35.5,0.0,8.6,7.5,7.0,7.0,4.8,7.0,0.1969268319742608,-0.06260314098716513,1.8322687151322767,21,8.80952380952381,7.0,0.0,0.0,86.5,0.1,21.0,0.4,31.4,140
ALLIUM SATIVUM,6.1,6.8999999999999995,0.0,4.9,9.5,2.5,9.5,4.2,6.1,0.0382759194541521,0.06355420218416996,2.0788602743577584,2,9.94047619047619,6.1,0.0,0.0,88.4,0.0,19.8,0.1,31.4,141
BENIDIPINE HYDROCHLORIDE + TELMISARTAN,8.799999999999999,9.6,0.0,6.3,7.9,3.9,7.9,5.5,6.3,0.05325345315360293,0.044465935734187,2.0415496805509425,6,9.702380952380953,6.3,0.0,0.0,94.2,0.0,20.0,0.1,31.4,142
HYDROCHLOROTHIAZIDE + LOSARTAN,2.6,2.3,0.0,4.2,3.8,9.4,7.5,6.7,6.3,0.0127586398180507,-0.05946005687403977,1.838412297366565,1,10.0,6.3,0.0,0.0,93.2,0.0,18.5,0.0,31.3,143
ATENOLOL + CHLORTALIDONE,24.4,24.3,0.0,7.1,9.6,5.8,3.1,4.9,6.1,0.13479780329505742,-0.0020512842113266094,1.95062549406407,3,9.880952380952381,6.1,0.0,0.0,92.3,0.1,20.1,0.3,31.3,144
HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,139.1,137.70000000000002,1.4,9.5,4.9,4.3,7.1,9.2,7.0,0.7638542186719921,-0.005045077228865824,1.9447737214312968,44,7.440476190476191,7.0,0.01016702977487291,0.1922894761769442,90.6,0.4,27.8,1.5,31.3,145
CHLORTALIDONE + CILNIDIPINE + TELMISARTAN,167.70000000000002,249.2,0.0,2.3,6.1,6.7,9.3,7.8,6.4,1.382370888112276,0.2190106157600591,2.3827208222389693,54,6.845238095238095,6.4,0.0,0.0,87.4,0.6,33.8,3.3,31.3,146
AMLODIPINE BESILATE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,5.4,6.5,0.0,7.3,8.1,5.2,3.1,5.7,5.9,0.036057025572751984,0.0971343143406389,2.1444971370838886,1,10.0,5.9,0.0,0.0,94.4,0.0,20.5,0.1,31.2,147
NITROGLYCERIN,437.2,503.2,0.0,4.3,3.2,2.6,7.6,6.0,4.7,2.7913685028013537,0.0728283454203753,2.096987839377818,51,7.023809523809524,4.7,0.0,0.0,94.0,1.1,41.4,5.9,31.1,148
ACETYLSALICYLIC ACID + CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,447.1,566.7,0.0,3.6,1.7,7.7,7.4,9.8,6.0,3.143617906473623,0.12583376991324724,2.2005940975989855,92,4.583333333333334,6.0,0.0,0.0,91.8,1.3,47.1,6.9,31.1,149
BEMPEDOIC ACID,11.0,12.9,0.0,8.0,5.2,4.8,9.2,6.8,6.8,0.07155932767515394,0.08292533109502642,2.1167237610324783,22,8.75,6.8,0.0,0.0,87.3,0.0,22.2,0.2,31.1,150
LEVAMLODIPINE BESILATE + NEBIVOLOL HYDROCHLORIDE,51.4,54.7,0.0,7.2,9.0,2.0,5.5,5.5,5.8,0.3034337382814667,0.03160182950126167,2.016405048187283,4,9.821428571428571,5.8,0.0,0.0,85.6,0.1,21.9,0.6,31.1,151
AMLODIPINE BESILATE + ATORVASTATIN CALCIUM SALT,0.0,0.0,0.0,4.1,7.3,1.2,9.6,8.4,6.1,0.0,0.0,1.954635005990765,1,10.0,6.1,0.0,0.0,50.0,0.0,19.5,0.0,31.1,152
METOPROLOL TARTRATE + TELMISARTAN,276.5,328.0,1.0,9.3,4.7,5.4,4.8,7.7,6.4,1.8194929827481,0.08915415859899745,2.1288988453180178,64,6.25,6.4,0.003048780487804878,0.05766171792152705,89.5,0.8,36.8,3.9,31.1,153
AMLODIPINE BESILATE + CHLORTALIDONE + TELMISARTAN,48.4,73.9,0.0,4.2,6.4,9.1,5.1,4.1,5.8,0.4099406445886725,0.2356615653698353,2.415267351229226,17,9.047619047619047,5.8,0.0,0.0,93.0,0.2,25.8,1.0,31.0,154
METOPROLOL SUCCINATE + OLMESARTAN MEDOXOMIL,14.7,14.0,0.0,8.6,9.0,3.9,4.8,5.6,6.4,0.07766128584900428,-0.024099927051466796,1.9075284449341443,10,9.464285714285714,6.4,0.0,0.0,88.4,0.0,20.7,0.1,31.0,155
LEVAMLODIPINE BESILATE + TELMISARTAN,51.3,59.4,0.0,2.9,9.4,5.5,4.2,5.6,5.5,0.3295057413879181,0.07605517369794068,2.103295110887468,3,9.880952380952381,5.5,0.0,0.0,85.3,0.1,23.1,0.7,30.9,156
LEVAMLODIPINE BESILATE + RAMIPRIL,0.0,0.0,0.0,7.9,3.9,9.0,4.0,5.3,6.0,0.0,0.0,1.954635005990765,1,10.0,6.0,0.0,0.0,50.0,0.0,20.0,0.0,30.9,157
BENIDIPINE HYDROCHLORIDE + NEBIVOLOL HYDROCHLORIDE,0.0,0.3,0.0,6.7,3.5,2.8,7.1,9.9,6.0,0.0016641704110500915,0.0,1.954635005990765,1,10.0,6.0,0.0,0.0,50.0,0.0,20.0,0.0,30.9,158
PERINDOPRIL ERBUMINE,21.4,24.9,0.0,2.9,9.1,3.2,6.5,6.7,5.7,0.13812614411715757,0.07868039838923502,2.108426466967663,3,9.880952380952381,5.7,0.0,0.0,90.5,0.1,22.1,0.3,30.8,159
AMLODIPINE BESILATE + NEBIVOLOL HYDROCHLORIDE,11.5,12.5,0.0,7.6,2.8,5.5,5.8,8.6,6.1,0.0693404337937538,0.0425720702853738,2.0378478648480556,8,9.583333333333334,6.1,0.0,0.0,87.3,0.0,21.6,0.1,30.8,160
EFONIDIPINE HYDROCHLORIDE + METOPROLOL SUCCINATE,1.2,1.7,0.0,6.2,5.2,2.6,4.9,8.4,5.5,0.009430298995950518,0.19023807142380833,2.326480999867912,1,10.0,5.5,0.0,0.0,87.3,0.0,22.5,0.0,30.7,161
AMLODIPINE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,28.6,23.6,0.0,6.9,2.9,6.6,7.0,7.4,6.2,0.13091473900260722,-0.0916086607772919,1.775573510783537,8,9.583333333333334,6.2,0.0,0.0,90.6,0.1,21.1,0.2,30.7,162
ACETYLSALICYLIC ACID + ATORVASTATIN CALCIUM SALT + CLOPIDOGREL BISULFATE,332.09999999999997,403.59999999999997,0.0,4.5,1.8,1.7,3.3,8.6,4.0,2.238863926332723,0.10240491536024021,2.154799238339412,26,8.511904761904763,4.0,0.0,0.0,89.5,0.9,37.4,4.8,30.7,163
HYDROFLUMETHIAZIDE + SPIRONOLACTONE,0.0,0.0,0.0,5.6,6.4,2.2,5.9,9.2,5.9,0.0,0.0,1.954635005990765,1,10.0,5.9,0.0,0.0,50.0,0.0,20.5,0.0,30.7,164
AMLODIPINE + LOSARTAN POTASSIUM SALT,4.8999999999999995,4.8,0.0,2.7,9.9,2.4,7.3,7.3,5.9,0.026626726576801464,-0.010256681389212985,1.9345869375021152,2,9.94047619047619,5.9,0.0,0.0,85.8,0.0,20.8,0.1,30.6,165
AMLODIPINE + ATENOLOL,1.1,0.9,0.0,6.1,5.5,8.2,5.1,6.1,6.2,0.004992511233150275,-0.09546596626670911,1.7680338864451217,5,9.761904761904763,6.2,0.0,0.0,88.0,0.0,20.2,0.0,30.6,166
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE,39.5,39.9,0.0,3.7,6.2,4.0,9.0,8.1,6.2,0.22133466466966217,0.005050537176355618,1.9645069627547274,15,9.166666666666666,6.2,0.0,0.0,93.2,0.1,23.2,0.4,30.6,167
AMLODIPINE + CHLORTALIDONE + OLMESARTAN MEDOXOMIL,16.4,18.200000000000003,0.0,4.5,4.5,4.6,7.9,7.1,5.7,0.10095967160370556,0.05344961795093739,2.0591095002944995,3,9.880952380952381,5.7,0.0,0.0,89.1,0.0,22.1,0.2,30.6,168
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + TELMISARTAN,187.9,256.2,1.8,9.6,7.0,4.3,5.4,6.1,6.5,1.421201531036778,0.16768626725390967,2.2824004539891796,67,6.071428571428571,6.5,0.007025761124121781,0.13287852560839022,87.5,0.6,37.1,3.2,30.5,169
LEVAMLODIPINE BESILATE,135.70000000000002,129.0,0.0,2.8,6.6,4.3,8.8,4.6,5.4,0.7155932767515394,-0.02499929142364621,1.9057705158491414,11,9.404761904761905,5.4,0.0,0.0,89.9,0.3,26.0,1.4,30.5,170
DIHYDRALAZINE SULFATE + HYDROCHLOROTHIAZIDE + RESERPINE,0.0,0.0,0.0,8.8,2.2,5.4,4.3,8.2,5.8,0.0,0.0,1.954635005990765,1,10.0,5.8,0.0,0.0,50.0,0.0,21.0,0.0,30.5,171
HYDROCHLOROTHIAZIDE + LEVAMLODIPINE BESILATE + OLMESARTAN MEDOXOMIL,1.0,0.9,0.0,9.0,3.9,1.8,4.9,9.7,5.9,0.004992511233150275,-0.05131670194948623,1.8543295839683047,1,10.0,5.9,0.0,0.0,85.2,0.0,20.5,0.0,30.5,172
AMLODIPINE + HYDROCHLOROTHIAZIDE + VALSARTAN,0.0,0.0,0.0,5.1,0.6,9.3,8.5,5.5,5.8,0.0,0.0,1.954635005990765,1,10.0,5.8,0.0,0.0,50.0,0.0,21.0,0.0,30.5,173
CHLORTALIDONE + METOPROLOL TARTRATE + TELMISARTAN,12.3,26.8,0.2,3.1,6.7,2.3,9.1,4.2,5.1,0.14866589005380818,0.47609680868765714,2.8852304944921476,15,9.166666666666666,5.1,0.007462686567164179,0.1411421155094095,89.2,0.1,28.7,0.4,30.4,174
LOSARTAN POTASSIUM SALT + RAMIPRIL,1.4,0.9,0.0,4.1,9.6,2.3,5.2,9.9,6.2,0.004992511233150275,-0.1982162742627268,1.567194537559773,3,9.880952380952381,6.2,0.0,0.0,88.8,0.0,19.6,0.0,30.4,175
AMLODIPINE + CHLORTALIDONE + LOSARTAN POTASSIUM SALT,4.5,4.5,0.0,8.9,2.5,4.0,8.3,5.0,5.7,0.02496255616575137,0.0,1.954635005990765,1,10.0,5.7,0.0,0.0,88.5,0.0,21.5,0.0,30.4,176
ACETYLSALICYLIC ACID LYSIN SALT + ROSUVASTATIN CALCIUM SALT,0.8,1.7,0.0,7.7,2.3,4.1,4.6,5.5,4.8,0.009430298995950518,0.4577379737113252,2.8493456729782016,1,10.0,4.8,0.0,0.0,88.4,0.0,26.0,0.0,30.3,177
HYDROCHLOROTHIAZIDE + LOSARTAN POTASSIUM SALT + RAMIPRIL,0.0,0.0,0.0,7.4,0.1,8.1,6.8,6.0,5.7,0.0,0.0,1.954635005990765,1,10.0,5.7,0.0,0.0,50.0,0.0,21.5,0.0,30.3,178
AMLODIPINE BESILATE + HYDROCHLOROTHIAZIDE + OLMESARTAN MEDOXOMIL,99.7,114.39999999999999,0.8,2.2,5.2,5.1,6.9,8.3,5.5,0.6346036500804348,0.07118734448318742,2.0937802815011266,21,8.80952380952381,5.5,0.006993006993006994,0.13225904530252358,93.8,0.3,28.5,1.3,30.3,179
AMLODIPINE BESILATE + BENAZEPRIL HYDROCHLORIDE,0.0,0.0,0.0,3.4,4.1,3.5,7.6,9.9,5.7,0.0,0.0,1.954635005990765,1,10.0,5.7,0.0,0.0,50.0,0.0,21.5,0.0,30.3,180
COLECALCIFEROL + ROSUVASTATIN CALCIUM SALT,7.9,5.7,0.0,7.0,9.8,2.2,4.1,9.0,6.4,0.03161923780995174,-0.150577262288222,1.660311418015953,11,9.404761904761905,6.4,0.0,0.0,91.9,0.0,21.0,0.1,30.3,181
METHYLDOPA,0.0,0.0,0.0,3.6,0.8,7.0,7.7,9.0,5.6,0.0,0.0,1.954635005990765,1,10.0,5.6,0.0,0.0,50.0,0.0,22.0,0.0,30.1,182
CHLORTALIDONE + CILNIDIPINE,15.6,18.6,0.0,6.5,1.2,8.3,7.1,5.8,5.8,0.10317856548510569,0.09192842819833769,2.1343215297929445,12,9.345238095238095,5.8,0.0,0.0,89.6,0.0,24.3,0.2,30.1,183
AMLODIPINE BESILATE + VALSARTAN,0.5,0.3,0.0,4.6,5.4,6.3,4.6,9.4,6.1,0.0016641704110500915,-0.2254033307585166,1.5140537652232535,3,9.880952380952381,6.1,0.0,0.0,90.1,0.0,20.1,0.0,30.1,184
NITROPRUSSIDE SODIUM SALT,1.0,1.1,0.0,2.8,6.2,3.1,9.9,6.1,5.6,0.006101958173850336,0.04880884817015163,2.0500384892262318,3,9.880952380952381,5.6,0.0,0.0,93.4,0.0,22.6,0.0,30.1,185
AMLODIPINE BESILATE + INDAPAMIDE,11.7,12.8,0.0,7.8,1.3,3.3,5.8,9.2,5.5,0.07100460420480391,0.045952720736981645,2.044455802563787,3,9.880952380952381,5.5,0.0,0.0,85.8,0.0,23.1,0.1,30.1,186
AZELNIDIPINE + TELMISARTAN,23.8,24.6,0.0,9.4,2.7,2.1,4.3,9.8,5.7,0.13646197370610752,0.016667814666202263,1.9872145000106902,9,9.523809523809524,5.7,0.0,0.0,91.5,0.1,23.9,0.3,30.0,187
VERAPAMIL HYDROCHLORIDE,19.8,28.4,0.0,2.9,7.4,3.6,5.9,5.1,5.0,0.15754146557940862,0.1976407785072427,2.3409505902722887,2,9.94047619047619,5.0,0.0,0.0,90.2,0.1,25.3,0.4,30.0,188
AMLODIPINE MALEATE + NEBIVOLOL HYDROCHLORIDE,7.5,8.2,0.0,2.7,0.5,8.6,8.4,6.8,5.4,0.0454873245687025,0.04562580942387484,2.043816810267334,1,10.0,5.4,0.0,0.0,92.7,0.0,23.0,0.1,30.0,189
EFONIDIPINE HYDROCHLORIDE + TELMISARTAN,2.6,3.6,0.0,3.4,8.4,2.0,4.6,7.6,5.2,0.0199700449326011,0.17669681082910427,2.3000127778842603,2,9.94047619047619,5.2,0.0,0.0,85.6,0.0,24.3,0.0,30.0,190
CLOPIDOGREL BISULFATE + ROSUVASTATIN CALCIUM SALT,224.8,322.9,2.9,2.7,4.7,5.2,4.9,9.8,5.5,1.7912020857602484,0.1984940134835349,2.342618353225285,63,6.309523809523809,5.5,0.00898110870238464,0.1698600993711878,88.7,0.8,41.0,4.2,30.0,191
OLMESARTAN MEDOXOMIL,326.9,355.3,2.8,4.5,7.6,1.5,3.2,8.1,5.0,1.9709324901536585,0.042533798353654007,2.0377730571905692,50,7.083333333333333,5.0,0.007880664227413453,0.14904734517064577,86.7,0.9,39.6,4.0,29.9,192
AMLODIPINE BESILATE + ENALAPRIL MALEATE,4.8,4.1,0.0,7.0,7.0,2.5,4.2,7.7,5.7,0.02274366228435125,-0.07578862446588197,1.806495907553864,3,9.880952380952381,5.7,0.0,0.0,94.5,0.0,22.1,0.0,29.9,193
CLONIDINE + HYDROCHLOROTHIAZIDE,0.8,1.1,0.0,8.3,6.4,1.2,3.2,6.6,5.1,0.006101958173850336,0.17260393995585743,2.292012709200412,1,10.0,5.1,0.0,0.0,87.4,0.0,24.5,0.0,29.8,194
LEVAMLODIPINE BESILATE + LOSARTAN POTASSIUM SALT,7.7,6.4,0.0,7.8,5.8,2.1,4.8,8.2,5.7,0.035502302102401954,-0.08831538832289643,1.7820106564071636,4,9.821428571428571,5.7,0.0,0.0,87.7,0.0,22.4,0.1,29.8,195
AMLODIPINE + CHLORTALIDONE,3.2,3.1,0.0,2.6,3.4,8.8,5.0,7.7,5.5,0.017196427580850947,-0.01574901574852361,1.9238514284988009,2,9.94047619047619,5.5,0.0,0.0,85.3,0.0,22.8,0.0,29.8,196
AMLODIPINE BESILATE + METOPROLOL TARTRATE,63.9,68.4,0.0,6.3,5.4,2.2,7.5,9.3,6.1,0.37943085371942087,0.03461226322292732,2.0222893473228654,28,8.392857142857142,6.1,0.0,0.0,85.3,0.2,27.5,0.8,29.8,197
ATENOLOL + LOSARTAN POTASSIUM SALT,13.2,11.8,0.0,8.7,0.5,5.6,9.6,4.1,5.7,0.06545736950130361,-0.054516317465291175,1.8480755034754013,6,9.702380952380953,5.7,0.0,0.0,91.9,0.0,23.0,0.1,29.8,198
S-METOPROLOL SUCCINATE + TELMISARTAN,20.2,25.4,0.0,7.2,0.9,4.3,7.6,5.6,5.1,0.14089976146890776,0.121349964361821,2.1918298943081123,2,9.94047619047619,5.1,0.0,0.0,87.6,0.1,24.8,0.3,29.8,199
RAMIPRIL,151.1,135.6,5.4,9.8,2.5,2.1,4.7,7.8,5.4,0.7522050257946413,-0.05267802312923042,1.85166869793598,36,7.916666666666666,5.4,0.03982300884955753,0.753174297806849,91.0,0.8,33.4,1.4,29.8,200
AZILSARTAN MEDOXOMIL + CHLORTALIDONE,12.6,9.4,0.0,6.8,1.1,4.4,9.6,8.9,6.2,0.05214400621290287,-0.13626870727537832,1.688279420529202,15,9.166666666666666,6.2,0.0,0.0,94.8,0.0,23.2,0.1,29.7,201
FLUVASTATIN SODIUM SALT,0.0,0.0,0.0,3.1,9.6,6.6,3.5,4.4,5.4,0.0,0.0,1.954635005990765,1,10.0,5.4,0.0,0.0,50.0,0.0,23.0,0.0,29.7,202
